id,Date&Time,text
1874367661356048864,2025-01-01T08:10:49.000Z,LLOYDS METALS AND ENERGY: CO DRI PRODUCTION UP 22% YOY TO 238K TONNES IN 9MFY25
1874826395991654867,2025-01-02T14:33:40.000Z,"Top Stories at this hour 

To access all download the app today 

Android: https://play.google.com/store/apps/details?id=com.RedboxGlobal.India&pcampaignid=web_share…

Apple: https://apps.apple.com/in/app/redboxglobal-india/id6450499781…"
1874726169754714389,2025-01-02T07:55:24.000Z,"TVS MOTOR: DECEMBER TOTAL 3,21,687 SALES UNITS VS  EST 3,35,300

MISSES ESTIMATES"
1874425822658101426,2025-01-01T12:01:55.000Z,TATA MOTORS: CO EXPECT DEMAND TO IMPROVE IN Q4 FY25 ACROSS MOST SEGMENTS OF THE CV INDUSTRY
1874753478763118702,2025-01-02T09:43:55.000Z,AUSTRALIAN PREMIUM SOLAR (INDIA): CO WINS ORDER WORTH 13CR RUPEES || MCAP: 1044CR - SME
1874732090320953349,2025-01-02T08:18:55.000Z,ADANI GREEN: NO ACTION TILL CONCRETE PROOF SAYS CHANDRABABU NAIDU - NDTV PROFIT
1874664210296373379,2025-01-02T03:49:11.000Z,"*PETRONET LNG - VERY NEGATIVE MOVE FROM REGULATOR*
PNGRB SAYS -
Petroleum and Natural Gas Regulatory Board (PNGRB) REGULATOR HAS MADE VERY SHARP COMMENTS
PNGRGB SAYS - *Rising charges while capacities have increased along with over 90% capacity utilization has led to the company"
1874455301275242525,2025-01-01T13:59:04.000Z,"SOUTH INDIAN BANK: 

BANK DEC GROSS ADVANCES SEEN AT 869.7B VS 776.9B (YOY)

BANK DEC TOTAL DEPOSIT SEEN AT 1.05T VS 991.55B (YOY)"
1874393489628377096,2025-01-01T09:53:27.000Z,GRAVITA: CO STARTS ALUMINUM RECYCLING IN GHANA || CO PLANS TO INCREASE GHANA PLANT CAPACITY TO 8000 MTPA
1874697002484912614,2025-01-02T05:59:30.000Z,"EICHER MOTORS (MOTORCYCLE): DECEMBER TOTAL SALES 79,466 UNITS VS 63,387 UNITS (YOY); EST 76,060"
1874394188806275454,2025-01-01T09:56:13.000Z,VST TILLERS POWER (TRACTORS) : DECEMBER TOTAL SALES 365 UNITS VS 395 UNITS (YOY)
1874663118091211161,2025-01-02T03:44:51.000Z,GNFC: INITIATION OF SUNSET REVIEW ANTI-DUMPING INVESTIGATION ON IMPORTS OF ‘TOLUENE DI-ISOCYANATE’ (TDI) ORIGINATING IN OR EXPORTED FROM EUROPEAN UNION AND SAUDI ARABIA
1874425786377371828,2025-01-01T12:01:47.000Z,"TATA MOTORS: DECEMBER TOTAL SALES 78,164 UNITS VS 77,855 UNITS (YOY); EST 70,000"
1874630782557569124,2025-01-02T01:36:22.000Z,"MARUTI SUZUKI: CO'S DEC 2024 TOTAL PRODUCTION VOLUME REACHED 157,654 UNITS, MARKING A 30% YOY GROWTH COMPARED TO 121,028 UNITS IN DEC 2023"
1874822247673909359,2025-01-02T14:17:11.000Z,"V2 RETAIL: Q3 FY25 REVENUE AT 5.91 BILLION RUPEES, 58% YOY GROWTH || Q3 FY25 SAME STORE SALES GROWTH OF 25%"
1874750351993340407,2025-01-02T09:31:29.000Z,"JTL INDUSTRIES: CO SAYS RECORDS HIGHEST EVER 9M SALES VOLUME AT 297,082 MT, 14.3% UP (YOY)"
1874733481600893412,2025-01-02T08:24:27.000Z,"OLA, SERVOTECH IN FOCUS 

COMMERCE MINISTER PIYUSH GOYAL TO MEET EV PLAYERS ON JAN 3 || DISCUSSIONS TO INCREASE FOCUS ON EV CHARGING INFRASTRUCTURE"
1874728690527195444,2025-01-02T08:05:25.000Z,PUNJAB NATIONAL BANK: CO GLOBAL BUSINESS GROWTH IS 15% (YOY) || DOMESTIC BUSINESS GROWTH IS 14% || DOMESTIC DEPOSITS IS 14.75T
1874443288620728738,2025-01-01T13:11:20.000Z,GODAWARI POWER AND ISPAT: CO INFORMS ABOUT COMPLETION OF ACQUISITION OF 51% STAKE IN JAMMU PIGMENTS || INDUSTRY TO WHICH THE ENTITY BEING ACQUIRED BELONGS TO RECYCLING OF NON-FERROUS METALS WASTE & SCRAP
1874394058115989874,2025-01-01T09:55:42.000Z,"VST TILLERS POWER (TILLERS): DECEMBER TOTAL SALES 3007 UNITS VS 2,039 UNITS (YOY)"
1874374705446277222,2025-01-01T08:38:48.000Z,"JUPITER LIFE LINE HOSPITALS: CO EXPANDS WITH 78 ADDITIONAL BEDS, BRINGING TOTAL CAPACITY TO 1,061 BEDS"
